set,sort_name,card_number, name,gc02,gc03,gc04,gc05,gc06,gc07,gc08,gc09,gc10,gc11,gc12,dc02,dc03,dc04,dc05,dc06,dc07,dc08,dc09,dc10,dc11,dc12,specialty,s1,s2,s3,s4,s5,s6,prioritys,priorityt,subx,suby,tagx,tagy,oc02,oc03,oc04,oc05,oc06,oc07,oc08,oc09,oc10,oc11,oc12,ro02,ro03,ro04,ro05,ro06,ro07,ro08,ro09,ro10,ro11,ro12,division,promotion,era,year,position,notes,template
SuperSet '84,Iron Sheik,84_081,Iron Sheik,DC,OC/TT,OC,OC,OC,OC,OC,DC,DC,DC,DC,B,A,A,B,C,A,B,A,Reverse,A,B,Camel Clutch,10*,11*,12*,12,11,10,5,1,2,6,8,12,Smash With Clubs 11 P/A,Kick Out Of Ring (DQ),Sidewinder Suplex 11,Elbow To Throat 10 (xx),Blatant Chokehold 5,Monkey Flip 7,Double Fisted Body Smash 8,Iranian Backstretcher 9*,Camel Clutch (S),Lunge At Face 5,Ropes,Kick To Midsection 6,N/A,N/A,Cross Body Block 7,N/A,Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),N/A,Ayatollah Slam 9,Monkey Flip 6,Reverse Cradle 8 P/A,Heavyweight,WWF,Original,1984,Upper Card,Former WWF World Heavyweight Champion feuding with S. Slaughter in April 1984.,true
SuperSet '84,Billy Jack Haynes,84_082,Billy Jack,DC,DC,DC,OC/TT,DC,OC,OC,OC,OC,OC,DC,B,A,B,Reverse,A,A,C,A,A,B,B,Billy Jack Breaker,11,10,9 P/A,10 P/A,9,11,5,2,2,5,2,5,Bow And Arrow 12*,Test Of Strength 6 (xx),Hip Roll 7,Turnbuckle Chop 8,Full Nelson 6,Indian Sidelock 7,Side Underhook 8,Billy Jack Breaker (S),Knife Hand Smash 9,Oregon Bodyslam 11 P/A,Ropes,Bearhug 9*,Billy Jack Breaker (S),N/A,N/A,Shoulder Block 8,Shoulder Block 8,Bearhug 7*,Oregon Bodyslam 9 P/A,N/A,Bearhug 6*,N/A,Heavyweight,Florida,Original,1984,Upper Card,Florida State Heavyweight Champion in April 1984.,true
SuperSet '84,Great Kabuki,84_083,Great Kabuki,DC,OC,OC/TT,DC,OC,OC,OC,DC,DC,DC,DC,A,C,B,B,A,B,A,B,A,Reverse,A,Oriental Leg Drop,10 P/A,12,13,11 P/A,9,11,4,2,2,7,9,12,Spits Green Fog 20 P/A,Attacks With Nunchuks 9,Throw Through Ropes (DQ),Overhead Flip 6,Wrist Spin 6,Martial Arts 7,Bodyslam 7,Oriental Leg Drop (S),Reverse Kick To Chin 7 (xx),Cranial Nerve Pinch 8*,Ropes,N/A,N/A,Flying Leg Chop 7,N/A,Back Body Flip 6,Chop To Throat 8,Chop To Back 9,Chop To Gut 7,N/A,Overhead Flip 7 P/A,N/A,Heavyweight,Mid Atlantic,Original,1984,Mid Card,Mid Atlantic singles wrestler in April 1984.,true
SuperSet '84,Krusher Kruschev,84_084,Krusher Khrushchev,OC,OC,OC,DC,OC,DC,OC,DC,OC/TT,OC,OC,A,B,A,B,A,B,B,C,Reverse,A,A,Krusher Krunch,12 P/A,8,10 P/A,8,10,12,4,2,2,5,9,12,Ropes,Overhead Double Smash 9,Hanging Suplex 9 P/A,Win Test Of Strength 8,Inverted Bodyslam 6,Forearm Smashes 7,Full Nelson 6 (xx),Kick To Groin 9,Krusher Krunch (S),Throw Into Crowd (DQ),Praise Soviet Union 5,Cross Body Block 9,N/A,Shoulder Smash 6,N/A,Throw Out Of Ring (DQ),Cross Body Block 8,Krusher Krunch (S),N/A,N/A,Turnbuckle Smash 9,Jump Off Top Rope 5 P/A,Heavyweight,Mid South,Original,1984,Upper Card,Mid South TV champion in April 1984.,true
SuperSet '84,Blackjack Lanza,84_085,Blackjack Lanza,OC,OC,OC,OC/TT,OC,OC,DC,DC,DC,OC,DC,A,Reverse,B,B,A,A,A,B,A,C,B,Brain Claw,10*,12,11,10*,12,11,5,2,2,5,8,12,Ropes,Neck Claw 9,Smash To Jaw 6,Side Headlock 7 (xx),Boot To Face 8,Forearm Smashes 9,Full Nelson 8,Face Lock 6,Brain Claw (S),Shoulder Buster 6 P/A,Elbow Drop 12,Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),N/A,Brain Claw (S),N/A,Brain Claw (S),Shoulder Smash 6,Cross Body Block 7,N/A,Neck Claw 8 P/A,N/A,Heavyweight,AWA,Original,1984,Tag Team,Member of the AWA Blackjacks in April 1984.,true
SuperSet '84,Masked Superstar,84_086,Masked Superstar,OC,DC,DC,DC,OC,OC,OC,OC,DC,OC/TT,DC,B,A,B,C,A,A,Reverse,B,B,A,A,Corkscrew Neckbreaker,15,12 P/A,13 P/A,14 P/A,11,10,5,1,2,4,9,12,Ropes,Throw Over Top Ropes (DQ),Shoulder Block 8 (xx),Head Smash To Gut 8,Stomp Opponent 9,Smash To Windpipe 8,Ram Into Turnbuckle 7,Arm Drag 6,Snapmare 7,Corkscrew Neckbreaker (S),Superplex 11 P/A,Reverse Sunset 11 P/A,N/A,N/A,N/A,N/A,Cross Body Block 6 P/A,Ram Into Ringpost 7,Shoulder Smash 7 P/A,Throw Into Crowd (DQ),Shoulder Smash 6,Shoulder Smash 6,Heavyweight,Georgia,Original,1984,Tag Team,"Georgia National Tag Team champion with King Kong B, in May of 1984.",true
SuperSet '84,Bugsy McGraw,84_087,Bugsy McGraw,OC,OC,OC,OC,DC,OC,DC,OC/TT,DC,OC,OC,B,A,A,B,B,A,A,Reverse,C,B,A,Uncle Bugs' Body Slam,12,10,12,10 P/A,9 P/A,11,4,2,2,6,2,5,Ropes,Dump On Turnbuckle 5,Stomp To Midsection 7,Uppercut To Jaw 6,Bearhug 9,Roundhouse To Face 7,Reverse Elbow Drop 6,Full Nelson 7 (xx),Uncle Bugs' Body Slam (S),Throw Out Of Ring (DQ),Stomp On Ankle 8,Ram With Shoulder 5,N/A,Uncle Bugs' Body Slam (S),N/A,Cross Body Block 7,Kick To Midsection 6,N/A,Kneedrop Off Rope 10 P/A,Revrse Rabbitkick 8,N/A,Throw Out Of Ring (DQ),Super Heavyweight,Memphis,Original,1984,Upper Card,Memphis singles and tag team wrestler with S. Shannon in April 1984.,true
SuperSet '84,Kendo Nagasaki,84_088,Kendo Nagasaki,OC,DC,DC,OC,OC,OC,DC,OC/TT,DC,OC,DC,B,Reverse,B,A,A,B,B,A,A,C,A,Martial Arts,12,11,10,9 P/A,8 P/A,10,4,2,2,5,8,12,Ropes,Bite Enemy's Forehead 8,Side Karate Kick 6 (xx),Ninja Throat Lunge 9,Overhead Double Chop 6,Oriental Face Rake 6,Reverse Crescent Kick 8,Martial Arts (S),Kendo Stick Slash 9,Scissorhold 9*,Chop Out Of Ring (DQ),N/A,Sidewinder Smash 9,Side Karate Thrust 7,Back Body Drop 6,N/A,Throw Out Of Ring (DQ),Ninja Throat Lunge 7 P/A,N/A,Crescent Kick 9,N/A,Shoulder Smash 8,Heavyweight,Florida,Original,1984,Upper Card,Florida singles and tag team wrestler in April 1984.,true
SuperSet '84,Paul Orndorff,84_089,Wonderful Orndorff,DC,DC,OC,DC,OC,DC,OC,OC,OC/TT,OC,OC,A,B,A,B,A,A,C,Reverse,B,A,B,Piledriver,9,10,8 P/A,11,10 P/A,10,5,2,2,4,7,12,Sledgehammer 9,Atomic Knee Drop 12 P/A,Throw Over Top Rope (DQ),Hanging Suplex 9,Drop Toe Hold 5,Slingshot 8,Bodyslam 7 (xx),Legsmash To Windpipe 6,Piledriver (S),Overhead Face Slam 7,Ropes,Shoulder Block 6,N/A,N/A,Kick To Groin 5,Knee Smash To Face 8 P/A,Throw Out Of Ring (DQ),Knee Smash To Face 8 P/A,N/A,Slingshot 10 P/A,N/A,Slingshot 8,Heavyweight,WWF,Original,1984,Upper Card,Challenged for the WWF World Tag Team titles with R. Piper in April 1984 and for the WWF World Heavyweight title in May 1984.,true
SuperSet '84,One Man Gang,84_090,Panama Gang,DC,DC,OC,DC,OC/TT,OC,OC,DC,OC,DC,OC,A,A,B,B,A,B,A,C,B,Reverse,B,Great Big Splash,9 P/A,8,10 P/A,11,12,12 P/A,5,3,2,5,2,6,Throw Out Of Ring (DQ),Overhead Power Smash 11,Great Big Splash (S),Sledgehammer To Chest 6,Battering Ram 8,Elbow Slam To Face 9,Head Butt 6,One Man Bodyslam 9 (xx),Piledriver 8 P/A,Strangle With Chains 11,Ropes,N/A,Great Big Splash (S),Great Big Splash (S),Great Big Splash (S),N/A,Belly Bump 9,N/A,N/A,Elbow Drop 6,Shoulder Smash 6,Cross Body Block 8,Super Heavyweight,Florida,Original,1984,Upper Card,Name briefly changed from OMG in April & May of 1984 in Florida.,true
SuperSet '84,Iceman King Parsons,84_091,Iceman Parsons,OC,DC,OC,DC,OC,OC,OC,OC/TT,DC,DC,DC,A,B,B,C,A,A,A,B,Reverse,B,A,Sleeper,9*,10,9,8*,10,9*,5,2,2,5,10,12,Roll Up 10 P/A,Sleeper (S),Overhead Bodyslam 9,Cocobutt 9 (xx),Winding Fist Smash 7,Flying Elbow Drop 8,Thrust To Gut 5,Clothesline 6,Dive Off Top Rope 8,Adbominal Stretch 10,Ropes,Fist Smash 6,N/A,N/A,Throw Out Of Ring (DQ),Clothesline 9,Clothesline 8,Sleeper (S),N/A,N/A,Reverse Cradle 6 P/A,Elbow Smash 5,Young Star,World Class,Original,1984,Upper Card,World Class singles wrestler in April 1984.,true
SuperSet '84,Butch Reed,84_092,Hacksaw Reed,DC,DC,OC,OC/TT,OC,OC,OC,DC,DC,DC,DC,A,C,Reverse,A,B,A,B,A,B,A,B,Press And Slam,12 P/A,10,10,11 P/A,12,10,5,2,2,5,2,6,Ropes,Airplane Spin 9,Press And Slam (S),Forearm Smashes 5 (xx),Slam Into Turnbuckle 10,Elbow Smash To Face 6,Choke 8,Slash With Foreign Object 7,Throw Out Of Ring (DQ),Bodyslam 10 P/A,Sleeperhold 10*,Back Body Drop 7,N/A,Boot To Face 8,N/A,Press And Slam (S),Cross Body Block 9,Shoulder Smash 6,N/A,Press And Slam (S),N/A,Shoulder Block 8,Heavyweight,Mid South,Original,1984,Upper Card,Mid South singles wrestler in April 1984.,true
SuperSet '84,Jake Roberts,84_093,Snake Roberts,OC,DC,OC/TT,OC,DC,OC,OC,DC,OC,DC,OC,B,B,A,B,A,B,A,C,Reverse,A,B,DDT,10,12 P/A,12 P/A,14,13,11,4,2,2,6,2,7,Piledrive To Concrete (DQ),Shove Out Of Ring (DQ),DDT (S),Foreign Object Slash 9,Knee Stomp To Face 6,Kick To Lower Gut 5,Wraparound Shoulderblock 6,Overhead Bodyslam 8,Neckbreaker 8 (xx),Crushing Kneelift 10 P/A,Ropes,Shoulder Smash 7,Kick To Midsection 6,N/A,Throw Out Of Ring (DQ),N/A,Turnbuckle Smash 9,Shoulder Smash 9,N/A,Cross Body Block 8,N/A,Shoulder Block 7,Heavyweight,Georgia,Original,1984,Upper Card,Georgia singles wrestler in April 1984.,true
SuperSet '84,Mike Rotundo,84_094,Mike Rotundo,DC,DC,DC,OC/TT,OC,OC,OC,DC,DC,OC,DC,B,B,A,A,A,C,Reverse,A,A,B,B,Airplane Spin,14,10,9,10,10 P/A,10 P/A,4,2,2,6,2,4,Front Chancery 5 (xx),Fireman Carry 10,Airplane Spin (S),Frontal Suplex 10,Reverse Nelson 8,Standing Armbar 7,Double Dropkick 8,Drop Toehold 7,Hammerlock 5*,Ropes,Turnbuckle Jam 5,Dropkicks 8 P/A,N/A,Spin Under Take-down 7,N/A,Shoulder Smash 6,Cross Body Block 6,N/A,Turnbuckle Smash 9,Airplane Spin (S),N/A,Dropkicks 9 P/A,Heavyweight,Florida,Original,1984,Upper Card,Florida U.S. Tag Team Champion with Barry Windham in April 1984 and Southern Heavyweight Champion in May 1984.,true
SuperSet '84,Masa Saito,84_095,Mr. Saito,DC,OC,DC,OC,DC,OC,OC/TT,DC,OC,OC,DC,A,Reverse,B,C,A,A,B,B,B,A,A,Hiroshima Sleeper,10,12,8*,11,10,9*,4,3,2,6,2,7,Oriental Leg Crab 7*,Bodyslam Onto Turnbuckle 8,Choke With Ring Rope 6,Hiroshima Sleeper (S),Pressure Wristlock 8,Judo Chop To Heart 8,Elbow Smash 8 (xx),Kick To Groin 6,Modified Chicken Wing 11,Ropes,Salt In Eyes 5 P/A,Throw Out Of Ring (DQ),Hiroshima Sleeper (S),N/A,N/A,Chop To Throat 10,Back Flip 8,N/A,Shoulder Smash 8,Hiroshima Sleeper (S),N/A,Kick To Stomach 6,Heavyweight,AWA,Original,1984,Tag Team,AWA tag team with J. Ventura in April 1984.,true
SuperSet '84,Brett Wayne Sawyer,84_096,Brett Sawyer,DC,DC,DC,DC,OC,OC,OC,OC,DC,DC,OC/TT,A,Reverse,A,A,B,B,B,B,A,C,A,Flying Forearm Smash,9,10,11,12,13 P/A,14 P/A,3,1,2,6,10,12,Snap Mare 4 (xx),Boston Crab 7*,Arm Drag 5,Leg-dive Take-down 8,Slam Into Turnbuckle 6,Armlock 7,Double Elbow Smash 6,Side Headlock 5,Sholder Flip 8,Flying Forearm Smash (S),Ropes,Reverse Cradle 10 P/A,N/A,Flying Forearm Smash (S),N/A,N/A,Shoulder Smash 6,Arm Bar 6,N/A,Turnbuckle Smash 5,N/A,Shoulder Smash 7,Young Star,Misc,Original,1984,Upper Card,Singles and tag team wrestler in Portland in April 1984.,true
SuperSet '84,Dick Slater,84_097,Dirty Dick Slater,OC,DC,OC,OC,DC,OC,DC,OC/TT,OC,DC,OC,A,C,Reverse,B,A,B,B,A,A,B,A,Sleeper Hold,13*,9*,9,9,12,8,5,2,2,5,8,12,Ropes,Choke On Top Rope 6,Throw Out Of Ring (DQ),Sleeper Hold (S),Rake With Foreign Object 7,Front Suplex 8,Eye Gouge 6 (xx),Smash With Chair 9,Winding Head Smash 7,Elbow To Groin 9,Bite Left Ear 7,Throw Out Of Ring (DQ),Body Slam On Concrete (DQ),Fling Into Crowd (DQ),Sleeper Hold (S),Sleeper Hold (S),Shoulder Smash 9,Back Flip 7,Below The Belt Kick 9,N/A,N/A,N/A,Heavyweight,Mid Atlantic,Original,1984,Upper Card,Mid Atlantic United States Heavyweight champion in April 1984.,true
SuperSet '84,Ricky Steamboat,84_098,Ricky Steamboat,DC,DC,OC,DC,OC,OC/TT,OC,OC,DC,DC,DC,B,B,Reverse,A,A,A,A,C,A,B,B,Turnbuckle Body Press,10 P/A,10 P/A,10 P/A,8,9,13,5,4,2,5,2,8,Ropes,Kapu Sleeper 6,Abdominal Stretch 8*,Double Thrust 9,Front Facelock 7,Flying Headscissors 8,Karate Chop To Gut 7,Turnbuckle Body Press (S),Flying Back Kick 5,Aerial Double Chop 10 (xx),Hawaiian Punch 10,N/A,Reverse Cradle 9 P/A,Reverse Cradle 9 P/A,N/A,Back Body Drop 6,Flying Elbow Spear 7,Figure Four Leglock 7,Shoulder Smash 8,N/A,Shoulder Smash 7,N/A,Heavyweight,Mid Atlantic,Original,1984,Upper Card,Mid Atlantic United States Heavyweight champion in May 1984.,true
SuperSet '84,Tiger Chung Lee,84_099,Tiger Chung Lee,DC,DC,OC/TT,OC,OC,DC,OC,DC,DC,DC,DC,C,A,A,B,A,B,B,B,A,Reverse,A,Martial Arts,9,11,10 P/A,9,11,10 P/A,3,2,2,7,11,12,Ropes,Martial Arts (S),Flying Mare 5 (xx),Chop To Throat 6,Choke Against Ropes 4,Korean Face-slicer 8,Elbow Smash 5,Throw Out Of Ring (DQ),Backbreaker 8,Anju Piledriver 8 P/A,Kick To Rib Cage 8,Slam Into Ringpost 5,Chop To Throat 4,Cross Body Block 7,N/A,N/A,N/A,N/A,Korean Face-slicer 10,Chop To Lung Region 6,Korean Face-slicer 10,Chop To Head 6,Veteran,WWF,Original,1984,Lower Card,WWF lower card wrestler in April 1984.,true
SuperSet '84,Jimmy Valiant,84_100,Boogie Woogie Valiant,OC,OC,DC,DC,OC,OC,OC,DC,OC/TT,DC,DC,B,Reverse,B,A,B,A,A,A,C,B,A,Sleeper Hold,12*,12,8,10,9,9*,4,2,2,5,2,5,Ropes,Throw Out Of Ring (DQ),Eye Rake 5,Sleeper Hold (S),Elbow To Jaw 8,Body Slam 6,Piledriver 10,Slam Into Ringpost 7,Thumb To Face 7 (xx),Boogie And Woogie 10,Slam Into Ringpost 6,Shoulder Smash 7,N/A,N/A,Shoulder Smash 8 P/A,Kick To Rib Cage 9,Sleeper Hold (S),Sleeper Hold (S),N/A,Smash To Turnbuckle 9,N/A,Throw Out Of Ring (DQ),Veteran,Mid Atlantic,Original,1984,Mid Card,Mid Atlantic wrestler feuding with P. Jones in singles and tag team matches.,true
SuperSet '84,Nikolai Volkoff,84_101,Nikolai Volkoff,DC,DC,DC,OC,OC,OC,OC,OC/TT,DC,DC,DC,A,C,A,A,B,B,B,A,B,A,Reverse,Russian Backbreaker,15*,15,14*,14,13*,7,5,2,2,4,8,12,Soviet Crab 7*,Throw Through Ropes (DQ),Commie Slam 9,Head Butt 8,Kick To Chest 8 (xx),Forearm Smashes 7,Russian Boot To Face 6,Freefall Leg Splitter 9,Underhook Suplex 8 P/A,Russian Backbreaker (S),Ropes,Shoulder Smash 7,Elbow To Throat 6 P/A,N/A,Russian Backbreaker (S),Throw Out Of Ring (DQ),N/A,Bodyslam On Press Table (DQ),Cross Body Block 8,N/A,Russian Boot To Face 10,N/A,Heavyweight,Georgia,Original,1984,Tag Team,Georgia tag team with K. Kruschev in May 1984.,true
SuperSet '84,Kevin Von Erich,84_102,Kevin Von Erich,DC,DC,DC,DC,OC,OC/TT,OC,OC,OC,DC,OC,B,A,B,Reverse,A,A,A,C,B,A,B,Claw,10*,13*,10*,9,11,12,5,4,2,4,2,6,Kick To Backside 7,Snap Mare 5,Big Splash 8 P/A,Winding Head Smash 9,Texas Headscissors 6,High Flying Dropkicks 7 (xx),Claw (S),Pinwheel Knee Smash 6,Reverse Chinlock 7,Tumble Roll-up 8 P/A,Ropes,N/A,N/A,Throw Out Of Ring (DQ),Claw (S),Claw (S),Claw (S),Back Smash 5,Leap Off Top Rope 9,Reverse Sunset 9 P/A,N/A,N/A,Heavyweight,World Class,Original,1984,Upper Card,World Class singles wrestler in April 1984.,true
SuperSet '84,Baron Von Raschke,84_103,Baron Von Raschke,DC,DC,DC,OC,DC,OC,OC,OC,DC,OC/TT,OC,A,C,Reverse,A,B,B,B,A,B,A,A,Brain Klaw,9,10,10*,11,12,8*,4,1,2,5,2,5,The Ally Drop 11 P/A,Rib Cage Claw 10 (xx),Kick Out Of Ring (DQ),Choke With Cape 10,Knee To Throat 6,Leg Twister 5,Headlock 6,Smash With Chair 10,Brain Klaw (S),Bismarck Sleeper 8,Ropes,Shoulder Block 7,Back Flip 6,N/A,Brain Klaw (S),N/A,Brain Klaw (S),Throw Out Of Ring (DQ),Brain Klaw (S),Knee To Gut 8 P/A,N/A,N/A,Veteran,AWA,Original,1984,Tag Team,AWA tag team title contender with The Crush in April 1984.,true
SuperSet '84,Pez Whatley,84_104,Pistol Pez Whatley,OC,OC/TT,DC,DC,OC,OC,OC,DC,DC,OC,OC,A,Reverse,A,B,B,B,B,A,C,A,A,Oklahoma Sideroll,11 P/A,9 P/A,8,12,10,10,4,1,2,6,9,12,Ropes,Leg Dive Takedown 7 (xx),Flying Dropkick 9,Elbow Smash 7,Frontal Headlock 9,Armbar 6,Monkey Flip 8,Full Nelson 6,Bodyslam 7 P/A,Oklahoma Sideroll (S),Backbreaker 9,N/A,N/A,Monkey Flip 8,Elbow Smash To Gut 8,N/A,Cross Bodyblock 7,Shoulder Smash 6,N/A,Shoulder Smash 8,N/A,Reverse Cradle 7 P/A,Heavyweight,Mid Atlantic,Original,1984,Mid Card,Mid Atlantic singles wrestler in April 1984.,true
SuperSet '84,Jay Youngblood,84_105,Jay Youngblood,OC,OC,DC,DC,OC,OC,OC/TT,DC,DC,OC,OC,B,B,B,C,A,A,A,Reverse,B,B,A,Tomahawk Chop,10,11 P/A,14,9,12 P/A,11,5,4,2,6,6,12,Ropes,Indian Deathlock 10*,Winding Suplex 9 (xx),Headlock 5,Reverse Suplex 8,Flying Dropkicks 7,Arm Bar 5,Pow-wow Sleeper 7,Tomahawk Chop (S),Reverse Sunset 7 P/A,Abdominal Stretch 5,N/A,Tomahawk Chop (S),N/A,Flying Scissorlock 9,Shoulder Smash 8,Cross-ankle Take-down 5,Shoulder Smash 7,N/A,Reverse Cradle 10 P/A,N/A,Reverse Cradle 10 P/A,Heavyweight,Mid Atlantic,Original,1984,Tag Team,Mid Atlantic tag team title contender with W. McDaniel in April/May 1984.,true
SuperSet '84,Brian Blair,84_BB1,B. Brian Blair,DC,OC,OC/TT,DC,OC,OC,DC,OC,DC,OC,DC,A,A,Reverse,C,B,A,A,A,B,B,A,Flying Elbow Smash,11,12,13 P/A,8,10,12,4,2,2,6,2,5,Small Package 8 P/A,Bb Bodyslam 7,Flying Elbow Smash (S),Horizontal Suplex 9,Wrist Twist 6,Continuous Forearms 7,Right Hand Smash 6,Sunset Flip 7,Atomic Knee Drop 9,Slam On Ring Apron 9,Ropes,Cradle 9 P/A,Flying Elbow Smash (S),N/A,Leap Frog 6,Bodyblock 7,N/A,Shoulder Block 8,Leap Frog 6,N/A,N/A,Throw Out Of Ring (DQ),Young Star,WWF,Original,1984,Mid Card,WWF singles wrestler in April/May 1984. Sometimes teams with S. Huber.,true
SuperSet '84,Spike Huber,84_BB2,Spike Huber,OC,OC,OC/TT,DC,DC,OC,OC,OC,DC,DC,DC,A,B,A,C,A,Reverse,A,A,B,B,B,Airplane Spin,10,10 P/A,10,12,9,9 P/A,4,2,2,6,8,12,Ropes,Test Of Strength 7,Bodyscissors 8,Elbow Smash 7,Arm Drag 6,High Flying Dropkicks 7,Abdominal Stretch 8,Flying Headscissors 9,Airplane Spin (S),Headlock 6,Flying Body Press 10 P/A,Reverse Cradle 8 P/A,N/A,Flying Headscissors 8,Shoulder Smash 7,N/A,Dropkick 9,Dropkick 8,Bodyblock 7,N/A,Backdrop 7,N/A,Young Star,WWF,Original,1984,Mid Card,WWF singles wrestler in April/May 1984. Sometimes teams with B. Blair.,true
SuperSet '84,Missing Link,84_BB3,The Missing Link,DC,OC,OC,DC,DC,OC,OC,DC,OC,OC/TT,DC,Reverse,C,B,B,B,B,A,A,A,A,A,Backflying Headbutt,9,10,13 P/A,11,10,11 P/A,3,1,2,6,8,12,Throw Chair At Foe 14,Ropes,Atomic Knee Drop 8,Total Bodyslam 9,Falling Head Butt 6,Kick To Midsection 8,Choke On Top Rope 9,Link Drive 6 (xx),Backflying Headbutt (S),Throw Through Ropes (DQ),Ram Own Head Into Post 4,N/A,Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Shoulder Block 9,Choke On Bottom Rope 9,Kick To Groin 10,N/A,Backflying Headbutt (S),N/A,N/A,Veteran,World Class,Original,1984,Mid Card,World Class singles wrestler in April 1984.,true
SuperSet '84,Spoiler,84_BB4,The Spoiler,OC,OC,DC,DC,OC,OC,OC,DC,OC/TT,DC,DC,B,A,C,B,A,B,A,A,Reverse,A,B,Bionic Claw,8 P/A,9*,10,8 P/A,9,10,4,2,2,5,2,6,Ropes,Backbreaker 10*,Throw Out Of Ring (DQ),Bionic Claw (S),Kick To Sternum 6,Frontal Smash 8,Flying Elbow Drop 5,Standing Dropkick 6 (xx),Bearhug 9,Smash On Press Table 10,Standing Knee Drops 5,Shoulder Block 6 P/A,N/A,Tangle Foe In Ropes 7,N/A,Bionic Claw (S),Bionic Claw (S),Bionic Claw (S),Ram Head Into Post 7,N/A,Kick To Midsection 9,N/A,Veteran,Georgia,Original,1984,Upper Card,Georgia National Heavyweight Champion in April 1984.,true
SuperSet '84,Jumbo Tsuruta,84_BB5,Jumbo Tsuruta,OC/TT,OC,DC,DC,DC,OC,OC,OC,OC,OC,OC,A,B,A,C,A,B,Reverse,A,A,B,B,Abdominal Stretch,12*,15,10*,12,11*,12,5,1,2,3,10,12,Ropes,Back Body Flip 5 (xx),Saki Piledriver 10,Abdominal Stretch (S),Belly To Back Suplex 8,Flying Dropkick 6,Face To Face Suplex 9,Backbridge 7,Boston Crab 6,Oriental Backbreaker 6*,Japanese Whip 8,Saki Smash 10 P/A,Somersault Off Ring Rope 7,N/A,Flying Back Chop 9,N/A,Cross Body Block 6,Chop To Midsection 5,Throw Into Crowd (DQ),N/A,N/A,Shoulder Smash 5,Heavyweight,AWA,Original,1984,World Champion,AWA World Heavyweight Champion in April/May 1984.,true
Deluxe Edition ‘84,Abdullah the Butcher,DE_A01,Abdullah the Butcher,OC/TT,OC,DC,DC,OC,OC,DC,OC,OC,DC,OC,A,Reverse,B,B,A,A,B,B,A,C,B,Foreign Objects,10 P/A,12,12,8,10,8,3,1,2,6,6,12,Ropes,Throw Out Of Ring (DQ),Bite Oppenent's Neck 7,Foreign Objects (S),Choke Against Ropes 8,Forearm Smashes 6,Wild Elbow To Face 7 (xx),Knee To Groin 9,Ram Head Into Bell 7,Nerve Pinch 8 P/A,Tear At Chest Hair 8,Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Bodyslam Into Crowd 10,N/A,Knee Smash To Pelvis 6,Cross Body Block 7,Choke Against Ropes 10,N/A,Forearm To Nose 6,N/A,Super Heavyweight,AWA,Original,1984,Tag Team,AWA singles and tag team wrestler in June 1986.,true
Deluxe Edition ‘84,Adrian Adonis,DE_A02,Masked Wrestler #1,OC,OC/TT,DC,DC,OC,OC,OC,DC,DC,OC,OC,B,B,A,Reverse,A,B,B,A,C,A,A,Goodnight Irene,13,11*,12,14*,12,10*,4,1,2,5,2,7,Half Boston Crab 9*,Hammerlock 9,Goodnight Irene (S),Pelvic Smash 7,Stomp On Face 8,Reverse Armlock 6,Elbow Plunge 6,Double Underhook 9 (xx),Forearms To Pectoral Region 5,Bodyslam 7 P/A,Ropes,Shoulder Block 7,N/A,Hip Roll 6,Goodnight Irene (S),N/A,Backdrop 7,Goodnight Irene (S),N/A,Bodyblock 9,Goodnight Irene (S),N/A,Heavyweight,WWF,Original,1984,Tag Team,WWF World Tag Team Champion with Dick Murdoch in June 1984.,true
Deluxe Edition ‘84,Wild Samoan Afa,DE_A03,Afa,DC,OC,DC,OC,DC,OC/TT,OC,OC,DC,DC,DC,B,A,Reverse,A,B,A,B,A,A,C,B,Samoan Drop,10,9,11,8 P/A,8 P/A,9,3,3,2,8,5,12,Ropes,Samoan Drop (S),Foot Chop To Thorax 7,Yank Hair 5 (xx),Scoop Up Body Slam 8,Head Butt 6,Spinning Chop To Throat 6,Rapid Fire Punches 7,Slam Into Turnbuckle 5,Pectoral Chops 9,Throw Out Of Ring (DQ),N/A,Throw Out Of Ring (DQ),Head Butt 7,N/A,Spinebreaker 8*,Shoulder Smash 6,Cross Body Block 5,Samoan Drop (S),N/A,N/A,Kick To Groin 7,Heavyweight,WWF,Original,1984,Tag Team,Former WWF World World Tag Team champion and lower card singles wrestler in June 1984.,true
